ADC_filtered,ADC_diff,current,charging_time,time
739, 1, 16, 8.00, 31893032
738, -1, 16, 8.00, 31904968
739, 1, 16, 8.00, 31916960
738, -1, 16, 8.00, 31928892
738, 0, 16, 8.00, 31940880
737, -1, 16, 8.00, 31952824
737, 0, 16, 8.00, 31964804
737, 0, 16, 8.00, 31976740
737, 0, 16, 8.00, 31988688
736, -1, 16, 8.00, 32003296
737, 1, 16, 8.00, 32015220
740, 3, 16, 8.00, 32027140
746, 6, 16, 8.00, 32039076
755, 9, 16, 8.00, 32051012
750, -5, 16, 8.00, 32076696
799, 49, 16, 8.00, 32088676
825, 26, 16, 8.00, 32100708
818, -7, 16, 8.00, 32112744
799, -19, 16, 8.00, 32124728
791, -8, 16, 8.00, 32136796
774, -17, 16, 8.00, 32148792
769, -5, 16, 8.00, 32160876
764, -5, 16, 8.00, 32172864
761, -3, 16, 8.00, 32184844
757, -4, 16, 8.00, 32196828
752, -5, 16, 8.00, 32208820
752, 0, 16, 8.00, 32223544
749, -3, 16, 8.00, 32235484
748, -1, 16, 8.00, 32247472
748, 0, 16, 8.00, 32259528
746, -2, 16, 8.00, 32271468
745, -1, 16, 8.00, 32283524
745, 0, 16, 8.00, 32295572
744, -1, 16, 8.00, 32307508
742, -2, 16, 8.00, 32319440
742, 0, 16, 8.00, 32331428
741, -1, 16, 8.00, 32343360
741, 0, 16, 8.00, 32355360
741, 0, 16, 8.00, 32367308
741, 0, 16, 8.00, 32379312
739, -2, 16, 8.00, 32391324
740, 1, 16, 8.00, 32403316
740, 0, 16, 8.00, 32415304
739, -1, 16, 8.00, 32427308
738, -1, 16, 8.00, 32442044
738, 0, 16, 8.00, 32454096
738, 0, 16, 8.00, 32466104
737, -1, 16, 8.00, 32478112
736, -1, 16, 8.00, 32490156
736, 0, 16, 8.00, 32502216
736, 0, 16, 8.00, 32523892
736, 0, 16, 8.00, 32535832
735, -1, 16, 8.00, 32547768
734, -1, 16, 8.00, 32559812
734, 0, 16, 8.00, 32571872
734, 0, 16, 8.00, 32583816
733, -1, 16, 8.00, 32595820
733, 0, 16, 8.00, 32607868
733, 0, 16, 8.00, 32619872
733, 0, 16, 8.00, 32631824
732, -1, 16, 8.00, 32643832
732, 0, 16, 8.00, 32655884
732, 0, 16, 8.00, 32670628
731, -1, 16, 8.00, 32682556
731, 0, 16, 8.00, 32694616
731, 0, 16, 8.00, 32706632
731, 0, 16, 8.00, 32718640
731, 0, 16, 8.00, 32730572
731, 0, 16, 8.00, 32742516
731, 0, 16, 8.00, 32754456
731, 0, 16, 8.00, 32766464
730, -1, 16, 8.00, 32778400
730, 0, 16, 8.00, 32790392
730, 0, 16, 8.00, 32802320
730, 0, 16, 8.00, 32814260
730, 0, 16, 8.00, 32826260
730, 0, 16, 8.00, 32838196
729, -1, 16, 8.00, 32850132
730, 1, 16, 8.00, 32862188
729, -1, 16, 8.00, 32874132
729, 0, 16, 8.00, 32886120
728, -1, 16, 8.00, 32900808
728, 0, 16, 8.00, 32912860
728, 0, 16, 8.00, 32924800
750, 22, 16, 8.00, 32936732
743, -7, 16, 8.00, 32948752
740, -3, 16, 8.00, 32960744
741, 1, 16, 8.00, 32972740
742, 1, 16, 8.00, 32984668
764, 22, 16, 8.00, 33003352
847, 83, 16, 8.00, 33015296
801, -46, 16, 8.00, 33027252
783, -18, 16, 8.00, 33039256
773, -10, 16, 8.00, 33051256
766, -7, 16, 8.00, 33063272
762, -4, 16, 8.00, 33075276
758, -4, 16, 8.00, 33087208
753, -5, 16, 8.00, 33099196
751, -2, 16, 8.00, 33113848
749, -2, 16, 8.00, 33125780
748, -1, 16, 8.00, 33137772
746, -2, 16, 8.00, 33149712
745, -1, 16, 8.00, 33161708
745, 0, 16, 8.00, 33173696
744, -1, 16, 8.00, 33185628
742, -2, 16, 8.00, 33197540
742, 0, 16, 8.00, 33209472
741, -1, 16, 8.00, 33221344
740, -1, 16, 8.00, 33233328
739, -1, 16, 8.00, 33245260
739, 0, 16, 8.00, 33257256
739, 0, 16, 8.00, 33269188
738, -1, 16, 8.00, 33281064
738, 0, 16, 8.00, 33293052
737, -1, 16, 8.00, 33304916
737, 0, 16, 8.00, 33316904
783, 46, 16, 8.00, 33836136
730, -53, 16, 8.00, 34229036
730, 0, 16, 8.00, 34241156
730, 0, 16, 8.00, 34253200
730, 0, 16, 8.00, 34265252
730, 0, 16, 8.00, 34277168
729, -1, 16, 8.00, 34289148
729, 0, 16, 8.00, 34301256
729, 0, 16, 8.00, 34313256
728, -1, 16, 8.00, 34325240
728, 0, 16, 8.00, 34337352
727, -1, 16, 8.00, 34349400
728, 1, 16, 8.00, 34361452
728, 0, 16, 8.00, 34373504
727, -1, 16, 8.00, 34385484
727, 0, 16, 8.00, 34397524
727, 0, 16, 8.00, 34409580
727, 0, 16, 8.00, 34421628
726, -1, 16, 8.00, 34443172
